material,damping_kg_s,comparison,first_experiment,second_experiment,time_s,position_rms_m,velocity_rms_m_s,position_max_m,velocity_max_m_s,com_position_difference_m,com_velocity_difference_m_s,internal_kinetic_difference_j,body_elastic_difference_j
iron,10000,fixed_comparison,adaptive-1000,fixed,0.0027,3.315686705634719e-08,0.007463481188964004,1.2270960123017538e-07,0.02492672019721409,1.2518839086034373e-09,2.5958646121537757e-08,0.0022820042791806827,0.0023141807703000034
iron,10000,fixed_comparison,adaptive-1000,fixed,0.0028,3.46665666433362e-08,0.007987596704504562,1.4812513868950328e-07,0.04647254294505798,1.2544797724484964e-09,2.5958639682244218e-08,0.0011863793357763525,0.0012185558302000021
iron,10000,fixed_comparison,adaptive-1000,fixed,0.0029,3.7914490058381754e-08,0.007951418974991336,1.4607401119248742e-07,0.03614308744520056,1.2570756404135233e-09,2.595866188670471e-08,0.0006275153270295375,0.0006596918239999972
iron,10000,fixed_comparison,adaptive-1000,fixed,0.003,4.1084843436434844e-08,0.008374611308038514,1.0787608071557949e-07,0.03476703664787861,1.2596715124985203e-09,2.5958720839547318e-08,0.0007017973380340076,0.0007339738380000016
iron,10000,fixed_comparison,adaptive-1000,fixed,0.0031,4.335299290522419e-08,0.008198583717985094,1.811821234015687e-07,0.030384443017067886,1.262267385721928e-09,2.5958723282037972e-08,0.0023962544959829635,0.002364077998800007
iron,10000,fixed_comparison,adaptive-1000,fixed,0.0032,4.496888891151554e-08,0.008684649480789876,2.7207592762090727e-07,0.029307244689369738,1.2648632569395626e-09,2.595872605759553e-08,0.0005959700928577227,0.0006281465938999947
iron,10000,fixed_comparison,adaptive-1000,fixed,0.0033,4.704448565369249e-08,0.009044379832282344,1.5740290607024754e-07,0.03699347422441035,1.267459128482457e-09,2.5958740601517156e-08,0.0025349225535294534,0.0025027460510999994
iron,10000,fixed_comparison,adaptive-1000,fixed,0.0034,4.596730078624222e-08,0.009822846560597703,1.9157226111010672e-07,0.032820043881024,1.2700550023021745e-09,2.595874670774379e-08,0.0022577695799240044,0.0022899460857000037
iron,10000,fixed_comparison,adaptive-1000,fixed,0.0035,5.066249205958713e-08,0.009392257273490273,1.8791018921437974e-07,0.02474424071127524,1.2726508762099843e-09,2.5958537763770554e-08,0.002196809429744581,0.0021646328943000087
iron,10000,fixed_comparison,adaptive-1000,fixed,0.0036,5.3170979890346384e-08,0.00974939930102612,1.7288400433468354e-07,0.03101583700480881,1.2752467286878598e-09,2.595860149057217e-08,0.005870444484573009,0.005902621019100003
iron,10000,fixed_comparison,adaptive-1000,fixed,0.0037,5.597901919667912e-08,0.009642445133982892,3.1646460579848323e-07,0.03516902512178288,1.2778425917367066e-09,2.5958575733398e-08,0.0026463792196378816,0.002614202686000003
iron,10000,fixed_comparison,adaptive-1000,fixed,0.0038,5.4228117159408896e-08,0.01025303148317874,1.6168454243951154e-07,0.02836726904385989,1.2804384504724619e-09,2.595857673259872e-08,0.0008619575683574271,0.0008941341026000027
